manufacturer_slice,match
regime,['regime']
kenagro.,"['kenagro.', 'kenagro', 'kenagrow', 'kenagrop', 'kenagro,']"
yara animal feed,"['yara animal feed', 'ram animal feeds', 'kagira animal feeds', 'star animal feeds', 'sawa animal feeds']"
taifa millers,"['taifa millers', 'taifarm millers', 'taifam milers', 'tai millers', 'tai farm millers']"
pharma q,"['pharma q', 'pharm q', 'pharma-q', 'pharma b', 'pharma &']"
shanghai channeldmed ltd,"['shanghai channeldmed ltd', 'shanghai channelmed ltd', 'shangai channelmed ltd', 'shanghai channelmed', 'shangai channelmed']"
nuiteez,"['nuiteez', 'nuteez']"
fsa company,"['fsa company', 'alfasan company', 'tsavo company', 'sugar company', 'sonar company']"
sunrice,"['sunrice', 'sunrise']"
medsel,"['medsel', 'medusel', 'medisel', 'medesel', 'medisel.']"
farm solution africa(fsa),"['farm solution africa(fsa)', 'farm solution africa', 'farm solutions africa', 'farmers solutions africa']"
bidii millers,"['bidii millers', 'bidii millers ltd', 'bidii millers feeds']"
solar vet,"['solar vet', 'solar vets', 'solarvet', 'solla vet']"
welvet,"['welvet', 'wellvet']"
mrovet,"['mrovet', 'metrovet', 'mertovet', 'murvet', 'mobvet']"
advanta science,"['advanta science', 'advanta seed', 'advanta modern science', 'advance sciencs']"
kiwi scourers lmtd,"['kiwi scourers lmtd', 'kiwi scourers']"
mmedil,['mmedil']
besvet,"['besvet', 'bestvet', 'best vet', 'best']"
seafry,"['seafry', 'safary', 'safy']"
kx pharm,"['kx pharm', 'expharm']"
abivet,"['abivet', 'biovet', 'avivet', 'ativet', 'afivet']"
files & tools,['files & tools']
raptakos brett ltd,"['raptakos brett ltd', 'raptakos brett', 'raptakos,brett&co ltd', 'raptakos,brett &co.ltd', 'raptakos, brett']"
bidcounga,"['bidcounga', 'bidco/unga']"
3 star,"['3 star', 'h star', 'star']"
kanga brand,"['kanga brand', 'kangaroo brand']"
crown paints,"['crown paints', 'crown paint', 'crown paints ltd']"
gnass kenya,"['gnass kenya', 'gnass kenya ltd']"
wakpharm,"['wakpharm', 'bakpharm']"
summer,"['summer', 'sammer']"
sunveat foods ltd,"['sunveat foods ltd', 'sunvet foods ltd']"
maxvet essentials,"['maxvet essentials', 'max vet essentials', 'maxvet essential']"
tepee ltd,"['tepee ltd', 'teepee ltd', 'tee pee ltd']"
midesei kenya,['midesei kenya']
from china,['from china']
bio plants,['bio plants']
reuclimix ltd,"['reuclimix ltd', 'reuclimix', 'limix ltd']"
nice phos supplies,"['nice phos supplies', 'nice phos suppliers', 'maxiphos supplies']"
muturi,"['muturi', 'muthui', 'muguri', 'mutu']"
lakhir plastics ltd,"['lakhir plastics ltd', 'star plastics ltd', 'adix plastics ltd', 'star plastic ltd', 'adix plastic ltd']"
agreval ltd.,"['agreval ltd.', 'agreval ltd', 'agrval ltd', 'agrival ltd', 'agraval ltd']"
kaplanda industry,['kaplanda industry']
chongqing yonghuan,"['chongqing yonghuan', 'chongqing yongchuan', 'chongging yongchuan']"
sunpar,"['sunpar', 'sunpharm', 'sundar', 'supa']"
modern insecticide,['modern insecticide']
egovet,['egovet']
cupfalls ltd,"['cupfalls ltd', 'cupfalls']"
rhino wire products,['rhino wire products']
bp vet,"['bp vet', 'b.p vet', 'pvet']"
pharma company,"['pharma company', 'farmila company', 'daima company', 'poa company', 'patobora company']"
seabound biotechnology,"['seabound biotechnology', 'shangdong biotechnology']"
huangshan ltd,"['huangshan ltd', 'huangshai ltd', 'huangshan', 'hanan ltd']"
sweede co.,"['sweede co.', 'seed co.', 'seedco.', 'seed co', 'seedco co.']"
dorra pride ltd,['dorra pride ltd']
sankei,"['sankei', 'shanke']"
uvs ltd,"['uvs ltd', 'uavs ltd', 'udv ltd', 'unbs ltd']"
beada millers,"['beada millers', 'bandari millers', 'mpedwa millers', 'yara millers', 'real millers']"
vetagro and pulpers,"['vetagro and pulpers', 'vetagro n pulpers', 'vetargo and plulpers', 'vetagro and pupplers', 'vetagro not pulpers']"
quality chemicals house,"['quality chemicals house', 'quality chemicals', 'qulity chemicals', 'quality chemical', 'quality chemicals ltd']"
magic beauty products,"['magic beauty products', 'rayan beauty products']"
multmax investment,"['multmax investment', 'multimax investment', 'mulmax investment', 'multmax investment ltd', 'multmax investment limited']"
mobedco - vet,"['mobedco - vet', 'mobedco- vet', 'mobedco-vet', 'mobedco vet', 'mobedo vet']"
zhejiang ltd,"['zhejiang ltd', 'zhejing ltd', 'shejiang ltd', 'zhejiang tide', 'zhijang ltd']"
synec,"['synec', 'synotec', 'syner']"
goodman phamacuaticals,"['goodman phamacuaticals', 'dan pharmaceuticals', 'gama pharmaceuticals', 'stedman pharmaceuticals', 'ggmilan pharmaceuticals']"
member of,['member of']
africasia seed kenya,"['africasia seed kenya', 'african seeds kenya', 'africasia seed', 'africasia seed company', 'africasia seeds']"
8mm,"['8mm', 'mm']"
beta feeds,"['beta feeds', 'betta feeds', 'best feeds', 'mbesa feeds', 'delta feeds']"
nikafarm care,"['nikafarm care', 'nikifarm care', 'nikiifarm care', 'niki farm care', 'unifarm care']"
h star,"['h star', '3 star', 'star', 'home star']"
jikaze miller,"['jikaze miller', 'jikaze millers', 'jikaze feed millers']"
steel and,['steel and']
necktai lmt,['necktai lmt']
robo feeds,"['robo feeds', 'robno feeds', 'robno  feeds', 'roobo feed', 'robnofeeds']"
guangzhou sunda chaina,"['guangzhou sunda chaina', 'guangzhou sunda int.', 'gungzhou sunda int', 'guangzhou sunda']"
jofla millers,"['jofla millers', 'joflema millers', 'joflem millers', 'dola millers', 'jofkema millers']"
rureen,['rureen']
kenplastick,"['kenplastick', 'kenplastik', 'kenplastic', 'kensplastic', 'kenplastics']"
kitali,"['kitali', 'kitale', 'kita', 'kali']"
veteworld,"['veteworld', 'vetworld', 'vet world', 'vetword', 'vet word']"
aqra eval,"['aqra eval', 'agra eval', 'agr eval']"
be chuck,['be chuck']
highland specialites,"['highland specialites', 'highlands specialites', 'highland specialities', 'highlands specialities', 'highland specialties']"
jiangsu kanghau madical,"['jiangsu kanghau madical', 'jiangsu kanghua medical']"
jiangsu tenglong biological,['jiangsu tenglong biological']
virgin beauty industries,['virgin beauty industries']
gypsum company,"['gypsum company', 'pump company']"
baording sunlight china,"['baording sunlight china', 'baoding sunlight', 'baoding sunlight herb', 'boarding sunlight herd']"
lg hacco,['lg hacco']
ultravetz,"['ultravetz', 'ultravet', 'ultravete', 'ultra vet', 'utravet']"
tabora feeds,"['tabora feeds', 'bora feeds', 'patobora feeds', 'tabora farm feeds', 'maba feeds']"
ayfya millers,"['ayfya millers', 'afya millers', 'taifa millers', 'hay millers', 'yara millers']"
nikki pharm,"['nikki pharm', 'nikipharm', 'nikki farm', 'nikkifarm', 'niki farm']"
gas products,"['gas products', 'ns products', 'ak products', 'basco products', 'v$a products']"
ray pharmaticals,"['ray pharmaticals', 'regal pharmaceticals', 'regal pharmaceuticals', 'dafra pharmaceuticals', 'sai pharmaceuticals']"
stanes,"['stanes', 't. stanes', 'sans', 'n. stanes']"
burwid,"['burwid', 'burnwid']"
mrt,"['mrt', 'mrtr', 'rt', 'mt', 'mr']"
fica seeds,"['fica seeds', 'africa seeds', 'faida seeds', 'icm seeds', 'fsa seeds']"
tuber ltd,"['tuber ltd', 'ur ltd']"
ocelet,"['ocelet', 'ocelot']"
twinluck,"['twinluck', 'twin luck']"
agrotech,"['agrotech', 'agro tech', 'agrotec', 'hgrotech', 'agrotect']"
african top seeds,"['african top seeds', 'african seed', 'africa seeds']"
yiwu rashel,['yiwu rashel']
munsait,['munsait']
grobal vet,"['grobal vet', 'global vet', 'globalvet', 'gloval vet', 'globle vet']"
boost production,['boost production']
jiangsu agrochem,"['jiangsu agrochem', 'jiangsu agrochem ltd', 'jingbo agrochem']"
geornsons agriculure,"['geornsons agriculure', 'geornsons agriculture', 'goeorsons agriculture', 'geornsons(k) agriculture', 'geornsons agriculture ltd']"
julijo,['julijo']
jia mingi,['jia mingi']
alpha packaging solutions,['alpha packaging solutions']
sunraysia elixir,['sunraysia elixir']
isagro (aisha),"['isagro (aisha)', 'isagro (asia)', 'isagro asia']"
uki (u) ltd,"['uki (u) ltd', 'mtk (u) ltd', 'sukuma (u) ltd', 'kpi(u)ltd']"
interchem holland,"['interchem holland', 'interchemie holland', 'interchem-holland', 'interchemia hollad', 'interchemie(holland)']"
indonesia,"['indonesia', 'indonasia', 'donesia']"
novartz,"['novartz', 'novartis']"
sulphur chemicals,"['sulphur chemicals', 'supreme chemicals', 'sugar pure chemicals', 'sulphur mills', 'spc pure chemicals']"
ni,"['ni', 'uni', 'npi', 'nil', 'nik']"
strathclouds limited,['strathclouds limited']
mutunda agrochem,"['mutunda agrochem', 'mutunda agrochemicals', 'mutunda agro', 'mutunda agro chemicals']"
guangzhou sunda ltd,"['guangzhou sunda ltd', 'guangzhou sunda', 'guangzhou sunda int.', 'gungzhou sunda int', 'gangzhou sunda']"
corporation agricultural product,"['corporation agricultural product', 'daina agricultural products']"
greenagrovet,"['greenagrovet', 'green agrovet', 'greenagro', 'green agro', 'greenagro ltd']"
agro-sol,"['agro-sol', 'agroisol', 'agrosel', 'agrisol', 'aerosol']"
manley,"['manley', 'many', 'male']"
africa ond,"['africa ond', 'africa one', 'african one', 'africa  one', 'africaone']"
mid company,"['mid company', 'sidai company', 'muddo company', 'miika company', 'micro company']"
high land specialist,"['high land specialist', 'highland specialist', 'highland specilist', 'highlands specialists', 'highland specialites']"
koppert biological system,"['koppert biological system', 'koppert biological systems', 'koppert  biological systems']"
indus rice,['indus rice']
bora feeds,"['bora feeds', 'tabora feeds', 'boma feeds', 'boresha feeds', 'dorra feeds']"
marleah animal feeds,"['marleah animal feeds', 'maba animal feeds', 'yara animal feed', 'ram animal feeds', 'miracle animal feed']"
ex,"['ex', 'tex', 'exk', 'exe', 'dex']"
farmgard,"['farmgard', 'farmguard', 'farmgaurd', 'farm guard', 'farmyard']"
garden feeds,"['garden feeds', 'morden feeds', 'golden feeds', 'rein feeds', 'glen feeds']"
etg agricultures,"['etg agricultures', 'east agriculture', 'agriculture']"
bakpharm,"['bakpharm', 'wakpharm', 'balpharm', 'biapharma', 'bal pharm']"
arab veterinary,"['arab veterinary', 'veterinary']"
filvet,"['filvet', 'oilvet', 'afivet', 'file']"
oilvet,"['oilvet', 'olvet', 'filvet']"
kitui flour millers,"['kitui flour millers', 'kitui flour mills', 'kitui flour mill', 'imenti flour millers', 'kitui flour meals']"
mwikamba,"['mwikamba', 'mwamba', 'mkamba']"
jubain,"['jubain', 'jubaini', 'jubali', 'jubail', 'juba']"
olive branch,['olive branch']
morendat.,"['morendat.', 'morendat', 'morendant', 'morenda', 'morindat']"
green seasons solutions,"['green seasons solutions', 'green season solution']"
hightech  pharmaceticals,"['hightech  pharmaceticals', 'hightech pharmaceticals', 'hightech pharmacueticals', 'hightech pharmaceuticals', 'hightech pharmacetical']"
poly medicure,['poly medicure']
primer,"['primer', 'primier', 'primr', 'prime', 'premer']"
bds vet consult,"['bds vet consult', 'bds vet consults']"
kitale agri tech,"['kitale agri tech', 'kitale agritech', 'kitale agriteeh', 'kitale agritech ent', 'kitale agreetec']"
pato mbora,"['pato mbora', 'patobora']"
kwik patch ltd,['kwik patch ltd']
farmers link,"['farmers link', 'farmers link vet', 'farm link', 'farmerline', 'farm links']"
laboratry and,"['laboratry and', 'laboratory and', 'laboratory &', 'laboratory $']"
aether center beijing,"['aether center beijing', 'aether centre beijing', 'aether centre(beijing)', 'alther centre(beijing)']"
koru kenya,"['koru kenya', 'nakuru kenya']"
strang,"['strang', 'sritrang', 'strong', 'string', 'sri trang']"
ae,"['ae', 'uae', 'mae', 'aye', 'axe']"
the himalaya company,['the himalaya company']
jika trade,['jika trade']
edgechem,"['edgechem', 'fedechem', 'edenchem']"
silmart.,"['silmart.', 'silmart', 'silmat', 'silimat']"
starkbayers ltd,"['starkbayers ltd', 'starkeayres ltd', 'starke ayres ltd']"
kavirondo filaments limited,['kavirondo filaments limited']
suprima indust.ltd,"['suprima indust.ltd', 'suprima industry']"
agrisole intl,"['agrisole intl', 'agrisole int', 'agrisole interp ltd', 'agrisole ltd']"
abacus patenteral,"['abacus patenteral', 'abacus parenteral', 'abacus parentral', 'abacus parental', 'abacus parenteral ltd']"
makasi,"['makasi', 'maasai']"
famas industry,"['famas industry', 'flask industry', 'ram industry']"
dam vet dicap,['dam vet dicap']
nokia,"['nokia', 'nzoia']"
arichem,"['arichem', 'agrichem', 'africhem', 'argrichem', 'agri chem']"
panner,"['panner', 'spanner', 'pannar', 'banner']"
agsinptd ltd,"['agsinptd ltd', 'agsin pte ltd']"
semena,"['semena', 'sema']"
jambo kenya agrovet,['jambo kenya agrovet']
timbwani,['timbwani']
adermatt,"['adermatt', 'andermatt', 'adamatt']"
pharma b,"['pharma b', 'pharma q', 'pharma &', 'pharma', 'pharmay']"
far base,"['far base', 'farm base', 'farmbase', 'famrbase', 'fsrm base']"
nan quality seeds,"['nan quality seeds', 'abi quality seeds', 'a.b.i quality seeds', 'afya quality feeds']"
kinesi agro seeds,['kinesi agro seeds']
amin impex,"['amin impex', 'amin imp']"
bakery,"['bakery', 'baker', 'bakers']"
amy sente inc,"['amy sente inc', 'amy sante inc', 'amy sante inc.', 'amy santeinc', 'amy santander inc']"
leeds feeds&suppliers,"['leeds feeds&suppliers', 'leeds feeds suppliment', 'leeds beef suppliers']"
mandom indonesia,"['mandom indonesia', 'pt mandom indonesia', 'mandom india']"
jonka,"['jonka', 'joeka']"
mdr,"['mdr', 'mr', 'dr']"
sulpur millers,"['sulpur millers', 'sulphur millers', 'suphur millers', 'sulpur mills', 'sulphur mills']"
matrix adhesive,"['matrix adhesive', 'matrix adhesive co.ltd']"
mutundwe agricultural solution,"['mutundwe agricultural solution', 'mutundwe agricultural solutions', 'mutundwe agriculture solutions', 'mutundwe agri solution']"
mazao nutri,"['mazao nutri', 'mazao industries']"
derailleur chemical,"['derailleur chemical', 'derail chemicals', 'dera chemical', 'derailleur chemical industry', 'miller chemicals']"
achal impex inc,"['achal impex inc', 'achal impex']"
skywave ltd,['skywave ltd']
supmax,"['supmax', 'super max', 'supa', 'pmax']"
agri promotion,['agri promotion']
roobo feed,"['roobo feed', 'robo feeds', 'robno feed', 'robno feeds', 'robfeed']"
ug prisons,"['ug prisons', 'uganda prisons', 'prisons']"
mor,"['mor', 'mr']"
hair removal company,['hair removal company']
farmsafe,"['farmsafe', 'farmate']"
kaolin,"['kaolin', 'kaon', 'kali']"
sunsate,"['sunsate', 'unisate']"
royal llac,"['royal llac', 'royal lilac', 'royal illac', 'royal ilac', 'royal i lac']"
bright farm,['bright farm']
mordern agro suply,['mordern agro suply']
mazuri,"['mazuri', 'mzuri', 'zuri']"
millennium chuma ltd,['millennium chuma ltd']
antegu,['antegu']
davmasupplies,"['davmasupplies', 'davima supplies', 'divma supplies']"
sony sugar co.ltd,['sony sugar co.ltd']
makhani agriscience,"['makhani agriscience', 'makhani agriscience ltd']"
bestcone,"['bestcone', 'beston']"
natures,"['natures', 'nature', 'ventures']"
ninsbo ltd,['ninsbo ltd']
syead,"['syead', 'sygad']"
coffee company,"['coffee company', 'feeds company']"
altasan ltd,"['altasan ltd', 'alfasan ltd', 'amaan ltd', 'alfasan ug ltd']"
medvac,"['medvac', 'medivac', 'medevac', 'medmac']"
royal agro,"['royal agro', 'royal agri', 'oya agro', 'royal group', 'royal a']"
huangshai ltd,"['huangshai ltd', 'huangshan ltd', 'shanghai ltd', 'shangai ltd']"
muishi agrovet,"['muishi agrovet', 'jamii agrovet']"
sianga,"['sianga', 'siana', 'sanga', 'simaga', 'iganga']"
chemicalam,"['chemicalam', 'chemicalad', 'chemical', 'chemicaland', 'chemichaland']"
home star,"['home star', 'homestar', 'h star']"
basf e.a,['basf e.a']
shengyang ltd,"['shengyang ltd', 'shenyang ltd', 'shanyang ltd', 'shenyang co ltd', 'shenyang atd ltd']"
drug ltd,"['drug ltd', 'dub ltd']"
dawney,"['dawney', 'dawn']"
univets,"['univets', 'univet', 'univert', 'units']"
lifan usa,['lifan usa']
duracoat ltd,"['duracoat ltd', 'duracoat']"
matrix adhesive co.ltd,"['matrix adhesive co.ltd', 'matrix adhesive']"
medium,"['medium', 'medim']"
volendam bv.add.2274'netherlands,"[""volendam bv.add.2274'netherlands""]"
blue cross laboratoriez,"['blue cross laboratoriez', 'blue cross laboratories']"
blueworld cosmetics ltd,['blueworld cosmetics ltd']
shell kenya,['shell kenya']
kamili,"['kamili', 'kamuli', 'kali']"
afya na,"['afya na', 'afya max']"
pol lick,['pol lick']
morendat mft ltd,"['morendat mft ltd', 'morendat ltd', 'moredat ltd']"
merrichem,"['merrichem', 'merichem', 'merrychem', 'merry chem', 'merychem']"
jua kali industry,"['jua kali industry', 'juakali industry', 'juakali industries', 'butali industry']"
umoja vet products,"['umoja vet products', 'movit products', 'smart vet product']"
bestonltd,"['bestonltd', 'beston ltd', 'pestgon ltd', 'beston']"
ballcork,['ballcork']
screen,['screen']
premio,"['premio', 'premi', 'pemo']"
malindi salt ltd,"['malindi salt ltd', 'malindi salt', 'magadi salt ltd', 'malindi salts']"
sweetlix ltd,"['sweetlix ltd', 'sweetlit ltd', 'weetabix ltd', 'sweetlix']"
nutrisourse,"['nutrisourse', 'nutrisource', 'nutri source']"
rich meal,"['rich meal', 'richmeal', 'ricmeal']"
adama manufacturing,"['adama manufacturing', 'aerial manufacturing']"
hygrotevh,"['hygrotevh', 'hygrotech', 'hygroth', 'hygtrotech', 'hygro tech']"
chongging yongchuan,"['chongging yongchuan', 'chongqing yongchuan', 'chongqing yonghuan']"
zana banamwaya,['zana banamwaya']
potltd,['potltd']
silver lands,"['silver lands', 'silverlands', 'silverlands ltd', 'silverland tz']"
nile surgicot ltd,['nile surgicot ltd']
huaian angel,"['huaian angel', 'hualan angel']"
kanier,"['kanier', 'kniker']"
hansucho,['hansucho']
iron sheet,['iron sheet']
faida seds,"['faida seds', 'faida seeds', 'faida. seeds', 'faida feeds', 'friday seeds']"
nk.ltd,"['nk.ltd', 'nkltd', 'nk ltd']"
zhejiang bestwin,"['zhejiang bestwin', 'zhejiang bosst']"
armashal ug ltd,"['armashal ug ltd', 'amarshal ug ltd', 'amarshal u ltd', 'amarsal ug ltd', 'amarshal ug ltf']"
arm care,"['arm care', 'farm care', 'armcare', 'farmcare', 'armacare']"
orions paint,"['orions paint', 'orions paints', 'orion paints']"
top nexus ltd,"['top nexus ltd', 'nexus ltd']"
ativet,"['ativet', 'avivet', 'artvet', 'afivet', 'abivet']"
adc chems.,['adc chems.']
mosaic capital ltd,['mosaic capital ltd']
corn star,['corn star']
medena,"['medena', 'medna', 'medina', 'eden']"
nantong baoye chemicals,"['nantong baoye chemicals', 'nantong baoye chemical', 'namtong chemicals']"
highland spec,"['highland spec', 'highland specilist', 'highlands', 'highland specialist']"
malindi lndustril,"['malindi lndustril', 'malindi industrial']"
impoted,"['impoted', 'imported']"
galvamesi ent ltd,"['galvamesi ent ltd', 'galvamesh ent ltd', 'galvamesh ent. ltd', 'galvemesh ent ltd', 'galvamesh ent.ltd']"
pudlo k.c.ltd,"['pudlo k.c.ltd', 'pudlo co.ltd', 'pudlo ltd']"
platinum ltd,"['platinum ltd', 'platinum']"
synner,"['synner', 'syner', 'sonner', 'syngenter']"
jaico products,"['jaico products', 'jaico product', 'basco products', 'alison products', 'jamii product']"
maria poultry centre,['maria poultry centre']
brussels ltd,"['brussels ltd', 'brussels lab', 'brussels']"
farinate,"['farinate', 'farina', 'farmite', 'farmine', 'farmate']"
nafuu animal feeds,"['nafuu animal feeds', 'naju animal feeds', 'dumu animal feeds', 'utatu animal feeds', 'daimu animal feeds']"
gld ltd,"['gld ltd', 'gnd ltd', 'glt ltd', 'gal ltd', 'agl ltd']"
josca farmers world,"['josca farmers world', 'josco farmers world', 'farmers world']"
univert,"['univert', 'univet', 'univets', 'unifert', 'uniliver']"
utambi,['utambi']
damvet,"['damvet', 'dam vet', 'dame']"
unither liquid,['unither liquid']
exotic farm,['exotic farm']
yiwu howell biotechnology,"['yiwu howell biotechnology', 'yiwa howell biotechnology', 'yiwu howell biotech']"
fair deal animal,['fair deal animal']
soarig,['soarig']
invater,"['invater', 'inter']"
robno feed,"['robno feed', 'robno feeds', 'robno  feeds', 'roobo feed', 'robo feeds']"
diana feeds,"['diana feeds', 'daina feeds', 'kianda feeds', 'daina feed', 'siena feeds']"
afr-vet,"['afr-vet', 'afri-vet', 'afri- vet', 'afri -vet', 'alf-vet']"
jumbo  steel limited,['jumbo  steel limited']
altravets,"['altravets', 'altravetis', 'altravet', 'altraveties', 'altrvetis']"
farmvet,"['farmvet', 'farm vet', 'farmet', 'farmjet', 'farmete']"
pyrethrum processing co.,"['pyrethrum processing co.', 'pyrethrum processing', 'pyrethrum processing company']"
runtire,['runtire']
holley-cotec ltd,"['holley-cotec ltd', 'holley-cotec']"
bishoni eletrical suppliers,"['bishoni eletrical suppliers', 'bishoni electrical suppliers', 'tison general suppliers']"
nas petrochem,"['nas petrochem', 'nas petro-chem', 'nas petro']"
zhejing ltd,"['zhejing ltd', 'zhejiang ltd', 'shejiang ltd', 'zhejiang tide', 'zhijang ltd']"
prm,"['prm', 'rm', 'pr', 'pm']"
syokimau,['syokimau']
bench bencos ventures,"['bench bencos ventures', 'bencos ventures', 'benco ventures']"
amaliene,"['amaliene', 'phamaline', 'farmaline', 'ameline']"
synagetic company,['synagetic company']
biology co.ltd,"['biology co.ltd', 'biologico ltd']"
pipe,"['pipe', 'pipes', 'pie', 'kpipes', 'k-pipe']"
biologistics,"['biologistics', 'logistics', 'biologics']"
unifarm cat,"['unifarm cat', 'unifarm care', 'unifarmcare', 'unifarm ltd', 'unifarm co.']"
agape seeds,"['agape seeds', 'ava seeds']"
quinicd,['quinicd']
danali,['danali']
sweetlix company,"['sweetlix company', 'steel company']"
macon feeds,"['macon feeds', 'maco feeds', 'macofeeds', 'maco feed', 'falcon feeds']"
stena,"['stena', 'stenna', 'stern', 'stema', 'steam']"
bioproton ltd,['bioproton ltd']
orange phamancy,"['orange phamancy', 'orange phama', 'orange pharma', 'orange pharm']"
mama nyambura,['mama nyambura']
convinient,['convinient']
px,"['px', 'tpx', 'pmx', 'apx']"
tropikal brands(africa)limited,['tropikal brands(africa)limited']
safari co.,"['safari co.', 'safaricom', 'safari chem.', 'safaricome']"
aristar sscience,"['aristar sscience', 'arista life science']"
kiambi,['kiambi']
kapl,"['kapl', 'kpl', 'kap', 'apl']"
liopharm,"['liopharm', 'lipharm', 'licpharm', 'leopharm', 'biopharm']"
sun ltd,"['sun ltd', 'sun g ltd', 'uni ltd', 'sunbow ltd', 'suguna ltd']"
pharmerline prdt,"['pharmerline prdt', 'pharmerline products', 'pharmeline products', 'phamerline products', 'pharmerline']"
unicure remedies,"['unicure remedies', 'sunrise remedies', 'crest remedies']"
royal comp,"['royal comp', 'royal crop', 'royal company', 'royal foam']"
yucaitang cosmetics co.ltd,['yucaitang cosmetics co.ltd']
jumbo millers,"['jumbo millers', 'jambo millers', 'jumbo mills', 'jambo miller', 'joy millers']"
east african overseas,"['east african overseas', 'east africa overseas', 'east african seeds']"
falcon feeds,"['falcon feeds', 'macon feeds', 'falcon seed', 'maco feeds', 'algo feeds']"
twin luck ltd,"['twin luck ltd', 'twin luck']"
mich feedssyner-chemie ltd,['mich feedssyner-chemie ltd']
haipharm,"['haipharm', 'lipharm']"
agritunza,"['agritunza', 'agri tunza']"
crop tend,"['crop tend', 'croptend', 'croptends']"
kenafric industry,"['kenafric industry', 'kenafric industries', 'kenafric industrials', 'kenfric industries', 'kenafric industries ltd']"
trivets,"['trivets', 'truvets', 'travets', 'utravets', 'truvets.']"
shanke,"['shanke', 'shenke', 'shaker', 'sankei', 'hankle']"
nutrifix co,"['nutrifix co', 'nutrifix', 'nutriflix', 'nutri fix']"
truvets t,"['truvets t', 'truvets ltd', 'truvets', 'truevets ltd', 'truvet ltd']"
bulgaria,['bulgaria']
jambo coffee limited,['jambo coffee limited']
banner,"['banner', 'panner']"
muntajat ltd,['muntajat ltd']
el,"['el', 'nel', 'elf', 'eld', 'ekl']"
z-chem productions,"['z-chem productions', 'cropchem productions', 'centachem productions', 'cropchem production']"
adc feed millers,"['adc feed millers', 'adc feedmill', 'thika feed millers', 'jikaze feed millers']"
mi,"['mi', 'umi', 'moi', 'mix', 'mit']"
anhui kangning ltd,"['anhui kangning ltd', 'anhui kangning', 'anhur kangiking ltd']"
kanland ltd,"['kanland ltd', 'kenland ltd', 'kenlands ltd', 'kamande ltd', 'landy ltd']"
spares,"['spares', 'spare', 'sparsh', 'sparks', 'sparex']"
hebei century,"['hebei century', 'hebeinew century', 'hebei new century', 'hebei  new century']"
rhino feeds,"['rhino feeds', 'rhinofeeds', 'rhino seeds', 'rhino seed', 'rein feeds']"
al-hassan industry estate,"['al-hassan industry estate', 'al-hassan industrial estate']"
vetare,"['vetare', 'vetcare', 'vet-care', 'vet care', ',vetcare']"
marsyetu ltd,['marsyetu ltd']
brazill,"['brazill', 'brazil', 'raill', 'borakill']"
ng'ombe feeds ind,"[""ng'ombe feeds ind"", 'ngombe feeds ind', 'ngombe feeds ind.', ""ng'ombe feeds indust."", ""ng'ombe feeds ltd""]"
wambug,"['wambug', 'wambugu', 'wambugo', 'wambugi', 'wambug0']"
royal king,['royal king']
kevapi,"['kevapi', 'kevivapi', 'kevevapi', 'kevavapi', 'kapi']"
slayer,"['slayer', 'layers', 'flayer']"
a miran,"['a miran', 'amiran', 'amirans', 'amira']"
pudlo kenya,"['pudlo kenya', 'kdl kenya']"
sabero,"['sabero', 'abro']"
china meishengde co.ltd,"['china meishengde co.ltd', 'qingdao meishengde ltd']"
balamu,"['balamu', 'balm']"
nenda,"['nenda', 'wenda']"
fry mate,"['fry mate', 'farm mate', 'farmate']"
julius,"['julius', 'ulus']"
yiwa howell biotechnology,"['yiwa howell biotechnology', 'yiwu howell biotechnology', 'yiwu howell biotech']"
bsn medicals,"['bsn medicals', 'boston medical', 'spend medical']"
animal feed,"['animal feed', 'animal feeds', 'animalfeeds', 'daima feed', 'daima feeds']"
agroscop,"['agroscop', 'agroscope', 'agroscopic', 'agrscope', 'agriscop']"
local supplier voi,"['local supplier voi', 'local supplier', 'local suppliers']"
baruti,"['baruti', 'maruti']"
sterling ltd,"['sterling ltd', 'steering ltd', 'steering ltds', 'sterling lab', 'sterling seed ltd']"
hitech pharmiticals,"['hitech pharmiticals', 'hightech pharmaticals', 'hitech pharmaceuticals', 'hightech pharmacitical', 'hightech phamaciticals']"
weldmesh ltd,"['weldmesh ltd', 'weldnesh ltd', 'weldmesh l|g']"
poonia brothers,"['poonia brothers', 'poonia brothers ltd']"
tria,"['tria', 'triga', 'tri', 'tra', 'trisam']"
minjigu mines,"['minjigu mines', 'minding miners']"
banga feeds,"['banga feeds', 'kanga feeds', 'mwanga feeds', 'bingwa feeds', 'unga feeds']"
bb ltd,"['bb ltd', 'bbh ltd', 'bamba ltd', 'abbot ltd']"
janto feeds,"['janto feeds', 'pato feeds', 'mant feeds', 'mento feeds', 'jonyo feeds']"
hygrotech sustainable solution,"['hygrotech sustainable solution', 'hygrotech sustainable solutions']"
fuga equipment$mashinery ltd,"['fuga equipment$mashinery ltd', 'fuga equipments ltd']"
finder ltd,"['finder ltd', 'pfizer ltd']"
biomethod vet,['biomethod vet']
king steel,['king steel']
leben laboratory pvt,"['leben laboratory pvt', 'leben laboratories ltd']"
vala uganda ltd,"['vala uganda ltd', 'adan uganda ltd', 'balton uganda ltd', 'uganda ltd', 'eram uganda ltd']"
murvet,"['murvet', 'murvets', 'mrovet']"
jowamu chemichsls,"['jowamu chemichsls', 'jowamu chemicals', 'jowamu chemicals ltd']"
